ApsimVersion = 7.10 r4218
Title = BCD
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     25/08/2007         6785.5         2597.3         16.092          0.041        561.828
     25/08/2008         6397.4         2542.7         16.020          0.041        639.119
     23/08/2009         7662.0         3012.5         16.357          0.041        579.482
     04/09/2010         6906.2         2830.1         16.417          0.039        605.777
     24/08/2011         5914.8         2267.6         16.111          0.041        587.618
     18/10/2012         1602.1          521.2         16.422          0.041        521.175
     04/09/2013         4759.5         1963.4         16.129          0.041        531.812
     10/10/2014         2788.7          998.4         16.425          0.041        581.934
     04/10/2015         3280.6         1092.7         16.429          0.041        529.065
     21/08/2016         9161.5         3499.7         16.045          0.041        526.563
     10/10/2017         1727.5          617.4         16.462          0.041        558.107
