ApsimVersion = 7.10 r4218
Title = Andong_weather
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     18/06/2008        13325.6         5189.7         11.440          0.037        338.458
     15/06/2009        12768.9         4443.4         10.428          0.030        477.593
     22/06/2010        10111.0         3637.4         10.651          0.030        493.799
     23/06/2011        13571.9         4462.4         10.181          0.028        549.968
     14/06/2012         9647.0         3561.3         11.092          0.034        489.167
     20/06/2013        12119.4         4159.8         10.331          0.029        581.501
     14/06/2014        10366.0         3875.9         11.047          0.036        448.390
     15/06/2015        12326.6         4051.0         10.807          0.031        381.967
     11/06/2016         9658.8         3991.3         11.613          0.041        484.479
