ApsimVersion = 7.10 r4218
Title = Gangneung_weather
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     06/06/2008        12918.9         4888.1         11.378          0.035        497.997
     04/06/2009        10457.7         3742.6         10.725          0.031        572.325
     20/06/2010         8201.3         3325.5         11.028          0.037        537.625
     19/06/2011        12686.1         4200.1         10.066          0.027        552.384
     14/06/2012         9321.6         3551.9          9.882          0.034        532.795
     18/06/2013        14039.1         4374.6          9.462          0.026        497.731
     05/06/2014         2969.9         1172.7         16.396          0.041        541.298
     04/06/2015        11745.5         4087.0         10.565          0.031        436.085
     04/06/2016        10214.8         4316.2         11.279          0.041        458.160
     03/06/2017        14527.5         5685.3         11.197          0.037        383.250
     09/06/2018        12331.9         5008.2         10.970          0.036        536.961
     02/06/2019        15028.0         5226.8         10.295          0.030        436.958
     28/05/2020        12057.5         4257.0         10.756          0.032        581.741
