ApsimVersion = 7.10 r4218
Title = Seosan_weather
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     26/06/2008        13771.4         5187.2         11.384          0.033        450.541
     20/06/2009        11190.5         3874.4         10.316          0.029        537.106
     27/06/2010         8296.1         3266.2         11.033          0.035        586.795
     30/06/2011        13015.0         4235.6         10.162          0.027        644.382
     21/06/2012         9102.9         3420.4         11.138          0.035        443.999
     30/06/2013        10337.7         3952.0          9.766          0.031        572.469
     19/06/2014         9977.1         3854.7         11.365          0.034        555.999
     21/06/2015         7983.9         3212.9         11.288          0.038        516.038
     14/06/2016         4534.8         1758.6         16.438          0.041        531.910
     22/06/2017         7922.8         3000.5         16.436          0.041        375.144
